Name,Año,Proyectado ZIPs,Steamer,Real
Aaron Judge,2023,0.963960945,0.94236254,1.019192556
Trea Turner,2023,0.846071773,0.785803909,0.778355289
Juan Soto,2023,0.924030042,0.960440402,0.929550072
Jose Ramirez,2023,0.869347243,0.848659932,0.830637539
Adley Rutschman,2023,0.822751046,0.7829443,0.809464396
Yordan Alvarez,2023,0.985977446,0.93679253,0.990184893
Alex Bregman,2023,0.858690338,0.831963539,0.803774137
Carlos Correa,2023,0.826898636,0.810834783,0.710901649
Francisco Lindor,2023,0.767874124,0.753660246,0.806344208
Marcus Semien,2023,0.805619215,0.759480396,0.826016195
Will Smith,2023,0.836081482,0.807626173,0.796705776
Nolan Arenado,2023,0.820877522,0.812117298,0.774288048
Austin Riley,2023,0.872219259,0.852068864,0.861177815
Julio Rodriguez,2023,0.820787227,0.825030795,0.818042813
Mookie Betts,2023,0.85575484,0.848793004,0.987136531
Mike Trout,2023,0.969738942,0.890116405,0.857663054
Rafael Devers,2023,0.887123056,0.860538292,0.850609756
Dansby Swanson,2023,0.759407483,0.727688828,0.743515409
Matt Chapman,2023,0.792883043,0.738183271,0.754826209
Ronald Acuna Jr.,2023,0.87491614,0.857353137,1.011971942
Gunnar Henderson,2023,0.812201066,0.753394084,0.814044556
Michael Harris II,2023,0.790932325,0.782724607,0.80808274
J.T. Realmuto,2023,0.773268001,0.759850546,0.762351661
Freddie Freeman,2023,0.882558124,0.883610928,0.976308036
George Springer,2023,0.836093962,0.816758791,0.732027317
Kyle Tucker,2023,0.844944614,0.889727694,0.886237194
Manny Machado,2023,0.806365134,0.816963517,0.781714331
Jose Altuve,2023,0.836624278,0.808396998,0.914905148
Corey Seager,2023,0.816869648,0.841949458,1.012566882
Andres Gimenez,2023,0.751770914,0.761929898,0.712289224
Matt Olson,2023,0.865622357,0.842264742,0.992507309
Bo Bichette,2023,0.796582991,0.80428871,0.81404023
Brandon Nimmo,2023,0.789328558,0.795523201,0.828918124
Willy Adames,2023,0.791365922,0.753211397,0.716620036
Fernando Tatis Jr.,2023,0.916432472,0.931316436,0.770462213
Alejandro Kirk,2023,0.77796775,0.833805625,0.691650103
Bryce Harper,2023,0.90006595,0.882558953,0.900004809
Xander Bogaerts,2023,0.775054815,0.772825553,0.789973254
Jake Cronenworth,2023,0.762830451,0.734015364,0.689267718
Sean Murphy,2023,0.79564072,0.759759569,0.843675181
Tommy Edman,2023,0.715767228,0.713824377,0.705414056
Cedric Mullins,2023,0.744459965,0.730410624,0.721151318
Corbin Carroll,2023,0.769670077,0.732529387,0.867697037
Paul Goldschmidt,2023,0.84180225,0.839888987,0.809854029
Trevor Story,2023,0.791474322,0.73453241,NA
Pete Alonso,2023,0.864402173,0.860954891,0.821150305
Vladimir Guerrero Jr.,2023,0.873072922,0.921125148,0.788096374
Byron Buxton,2023,0.86716094,0.796046737,0.731448126
DJ LeMahieu,2023,0.739283258,0.754957451,0.717744187
Bryan Reynolds,2023,0.820024682,0.808415899,0.789617813
Ozzie Albies,2023,0.791879988,0.767351232,0.849289079
Max Muncy,2023,0.786703473,0.790097103,0.808437067
Masataka Yoshida,2023,0.860790327,0.866469222,0.78299621
Wander Franco,2023,0.798526742,0.797360717,0.819308641
Brandon Lowe,2023,0.816548649,0.780374787,0.770952473
Steven Kwan,2023,0.726416832,0.765110865,0.71021279
Daulton Varsho,2023,0.822054933,0.746586942,0.6739684
Shohei Ohtani,2023,0.881045175,0.865123534,1.066381453
Ty France,2023,0.777387467,0.778560182,0.70311127
Ha-Seong Kim,2023,0.699024609,0.71344164,0.748816214
Randy Arozarena,2023,0.783993709,0.761913395,0.788596768
Anthony Volpe,2023,0.724477356,0.692229964,0.665958101
Jonah Heim,2023,0.723387167,0.698768093,0.75500203
Yasmani Grandal,2023,0.749182607,0.743334213,0.64748495
Harrison Bader,2023,0.737526668,0.715679764,0.62201486
Trent Grisham,2023,0.711945961,0.710104473,0.66635782
Ketel Marte,2023,0.821809777,0.772769744,0.843523049
Jeremy Pena,2023,0.714962121,0.706838763,0.705092018
Luis Robert Jr.,2023,0.78286924,0.799720492,0.857378779
Willson Contreras,2023,0.767468604,0.757765444,0.825589314
Isaac Paredes,2023,0.776889783,0.763493563,0.839818888
Jeff McNeil,2023,0.771716552,0.769912395,0.71111111
Jorge Polanco,2023,0.790140988,0.767108583,0.788919351
Ryan McMahon,2023,0.767178474,0.762113963,0.752799689
Javier Baez,2023,0.711041439,0.704533306,0.592889463
Nico Hoerner,2023,0.710485272,0.743715849,0.729309375
Miguel Vargas,2023,0.757517594,0.742543287,0.671823261
Kyle Schwarber,2023,0.847327678,0.822203001,0.816559828
Bobby Witt Jr.,2023,0.774549194,0.760405497,0.813443099
J.P. Crawford,2023,0.687882977,0.704250054,0.817729806
Endy Rodriguez,2023,0.749725275,0.728232024,NA
Yandy Diaz,2023,0.781601234,0.801984605,0.931904761
